Barangay,University,Distance (km),Time (mins),Rides
Don Benito,Pangasinan State University - Urdaneta City,23.27,25.1,3 rides
Don Benito,Urdaneta City University,25.63,27.7,4 rides
Don Benito,Pangasinan State University - Asingan,31.62,35.0,4 rides
Don Benito,DMMMSU – South La Union Campus (SLUC) - Sto. Tomas,27.37,35.7,3 rides
Don Benito,University of Pangasinan - PHINMA,24.34,39.2,4 rides
Don Benito,Pangasinan Merchant Marine Academy,24.94,40.6,4 rides
Don Benito,Lyceum-Northwestern University,26.27,43.4,4 rides
Don Benito,DMMMSU – South La Union Campus  (SLUC) - Agoo,33.6,44.3,3 rides
Don Benito,University of the Philippines - Baguio,43.52,57.5,4 rides
Don Benito,Pangasinan State University - Lingayen,41.29,65.4,5 rides
Don Benito,Pangasinan Polytechnic College,41.55,65.6,5 rides
Don Benito,Pangasinan State University - Bayambang,48.42,67.5,4 rides
Don Benito,Tarlac State University - Tarlac,84.02,74.7,3 rides
Don Benito,UP Manila School of Health Sciences - Tarlac,85.27,76.4,-
Don Benito,University of Cordilleras,61.4,85.6,4 rides
Don Benito,DMMMSU – Mid La Union Campus (MLUC),65.38,88.4,3 rides
Don Benito,University of Baguio,62.39,89.2,4 rides
Don Benito,Central Luzon State University,94.33,90.5,4 rides
Don Benito,Saint Louis University - Baguio,63.06,90.8,4 rides
Don Benito,Benguet State University - La Trinidad,67.36,99.1,4 rides
Don Benito,Philippine Military Academy,68.04,99.4,4 rides
Don Benito,Polytechnic University of the Philippines - Manila,205.12,172.7,5 rides
Don Benito,University of the Philippines - Diliman,204.6,172.8,5 rides
Don Benito,University of the Philippines - Manila,206.23,176.4,5 rides
Don Benito,Maritime Academy of Asia and the Pacific,218.89,186.5,4 rides
Haway,University of Eastern Pangasinan,16.51,24.7,3 rides
Haway,Pangasinan State University - Urdaneta City,22.54,28.7,3 rides
Haway,Urdaneta City University,24.9,31.3,4 rides
Haway,University of Pangasinan - PHINMA,19.47,33.1,4 rides
Haway,Pangasinan Merchant Marine Academy,20.07,34.5,4 rides
Haway,Lyceum-Northwestern University,21.39,37.3,4 rides
Haway,Pangasinan State University - Asingan,30.89,38.6,4 rides
Haway,DMMMSU – South La Union Campus (SLUC) - Sto. Tomas,34.46,43.7,3 rides
Haway,DMMMSU – South La Union Campus  (SLUC) - Agoo,40.68,52.3,3 rides
Haway,Pangasinan State University - Lingayen,36.42,59.3,5 rides
Haway,Pangasinan Polytechnic College,36.68,59.6,5 rides
Haway,Pangasinan State University - Bayambang,43.55,61.4,4 rides
Haway,University of the Philippines - Baguio,50.61,65.5,4 rides
Haway,Tarlac State University - Tarlac,83.1,79.5,3 rides
